"Fecha contable",Lugar,Mes,Tipo,Nut,Valor,Numero,Concepto,"Saldo Desp.Mov",Descripcion,"Fecha Real",,
2020-07-01,"Gua-Principal ",7,CHE,,187.96,2103,"Pago De Cheques Normal Camara",2452.71,"Pago De Cheques Normal Camara","01/07/2020 4:28:10",,
2020-07-01,"Gua-Principal ",7,CHE,,375.92,2215,"Pago De Cheques Normal Camara",2076.79,"Pago De Cheques Normal Camara","01/07/2020 4:28:11",,
2020-07-01,"Gua-Principal ",7,CHE,,187.96,2023,"Pago De Cheques Normal Camara",1888.83,"Pago De Cheques Normal Camara","01/07/2020 4:28:13",,
2020-07-01,"Gua-Principal ",7,N/C,,500,1641," Int. 1434748 A 7850557 - Cuadro Abono",2388.83,"Transferencia Intermatico","01/07/2020 9:08:15",,
2020-07-01,"Gua-Principal ",7,N/D,3980675,20,816,"Elizabeth Ramirez Articulos Ca Ocp105-T C De Arte -Pr-279684",2368.83,Ocp-Pagos,"01/07/2020 9:10:20",,
2020-07-01,"Gua-Principal ",7,N/D,3980775,20,816,"Mariuxi Sarasti Compra Papel C Ocp105-T C De Arte -Pr-279684",2348.83,Ocp-Pagos,"01/07/2020 9:10:51",,
2020-07-01,"Gua-Principal ",7,N/C,4673573,68.76,517,"NO.RECAP:001393F1200701C PLA228732 MC.PAGO A ESTABL.228732000000000000     ",2417.59,Ocp-Pagos,"02/07/2020 1:04:29",,
2020-07-02,"Gua-Principal ",7,N/C,4762044,40,1945,"Concpto:01SOLICITUD DEL ORDENANTE JALON LENT GRACIELA LAURA                               000856P4",2457.59,"Transferencia Recibida Spi2 Del Bce","02/07/2020 9:26:17",,
2020-07-02,"Gua-Principal ",7,N/D,4762044,0.2,2884,"Concpto:01SOLICITUD DEL ORDENANTE JALON LENT GRACIELA LAURA                               000856P4",2457.39,"Transferencia Recibida Spi2 Del Bce","02/07/2020 9:26:17",,
2020-07-02,"Gua-Principal ",7,N/D,4762044,0.02,1613,"Concpto:01SOLICITUD DEL ORDENANTE JALON LENT GRACIELA LAURA                               000856P4",2457.37,"Transferencia Recibida Spi2 Del Bce","02/07/2020 9:26:17",,
2020-07-02,"Gua-Alban Borja",7,DEP,3275220,1000,25332295,"LOC.: 1,000.00",3457.37,Depositos,"02/07/2020 13:51:47",,
2020-07-02,"Gua-Principal ",7,N/C,5263714,35.19,517,"NO.RECAP:001394F1200702C PLA235370 MC.PAGO A ESTABL.235370000000000000     ",3492.56,Ocp-Pagos,"03/07/2020 3:06:09",,
